featureID,VSURF_score,MeanDecreaseAccuracy,GNPSLinkout_Cluster,GNPSLinkout_Network,INCHI,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,Smiles,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster.index,componentindex,number.of.spectra,parent.mass,precursor.charge,precursor.mass,sum.precursor.intensity.,MolNetEnhancer_CF_componentindex,MolNetEnhancer_CF_NrNodes,MolNetEnhancer_CF_kingdom,MolNetEnhancer_CF_kingdom_score,MolNetEnhancer_CF_superclass,MolNetEnhancer_CF_superclass_score,MolNetEnhancer_CF_class,MolNetEnhancer_CF_class_score,MolNetEnhancer_CF_subclass,MolNetEnhancer_CF_subclass_score,MolNetEnhancer_CF_Dparent,MolNetEnhancer_CF_Dparent_score,MolNetEnhancer_CF_MFramework,MolNetEnhancer_CF_MFramework_score,Qemistree_csi_smiles,Qemistree_ms2_smiles,Qemistree_ms2_library_match,Qemistree_structure_source,Qemistree_kingdom,Qemistree_superclass,Qemistree_class,Qemistree_subclass,Qemistree_direct_parent
id_1901,0.000157164999623931,0.00299014695407884,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1901.0"""",""""main.cluster index_upperinput"""":""""1901.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,0.983377,5.9366,5.9366,0,N/A,CCMSLIB00003134553,11122760000,82,1901,5,82,482.3613,1,482.3613,11122760000,5,14,Organic compounds,1,Lipids and lipid-like molecules,0.72619048,Glycerophospholipids,0.26360544,Glycerophosphocholines,0.26360544,Monoalkylglycerophosphocholines,0.21938775,Aliphatic acyclic compounds,0.26360544,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O,missing,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Monoalkylglycerophosphocholines
id_191,0.002747783773054,0.00216488569783046,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""191.0"""",""""main.cluster index_upperinput"""":""""191.0""""}",This Node is a Singleton,N/A,N/A,N/A,0.5203,0.5203,0,N/A,N/A,1747739000,92,191,-1,92,220.9813,1,220.9813,1747739000,S26,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_1940,0.000274718465840842,0.00124415373835153,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1940.0"""",""""main.cluster index_upperinput"""":""""1940.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.3406,8.3406,0,N/A,N/A,28773050,58,1940,-1,58,353.2664,1,353.2664,28773050,S188,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_2014,0.000127892385591266,0.00111037052089684,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""2014.0"""",""""main.cluster index_upperinput"""":""""2014.0""""}",This Node is a Singleton,N/A,N/A,N/A,7.1595,7.1595,0,N/A,N/A,40201620,34,2014,-1,34,375.2511,1,375.2511,40201620,S190,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_21118,0.00455961032588108,0.00631067255756038,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""21118.0"""",""""main.cluster index_upperinput"""":""""21118.0""""}",This Node is a Singleton,N/A,"Spectral Match to cis-7,10,13,16,19-Docosapentaenoic acid from NIST14",0.874781,8.625,8.625,0,N/A,CCMSLIB00003135487,170471400,58,21118,-1,58,331.2628,1,331.2628,170471400,S1236,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)O,missing,"Spectral Match to cis-7,10,13,16,19-Docosapentaenoic acid from NIST14",CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids
id_216,0.00177540574857625,0.00243528187998272,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""216.0"""",""""main.cluster index_upperinput"""":""""216.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.52,0.52,0,N/A,N/A,1364989000,100,216,85,100,286.9583,1,286.9583,1364989000,85,99,Organic compounds,0.62626263,Organoheterocyclic compounds,0.33272407,Indoles and derivatives,0.18434343,"",0.2843274,Indoles and derivatives,0.18181818,Aromatic heteropolycyclic compounds,0.27734087,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_21668,5.72124473440263e-06,0.00346788324763481,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""21668.0"""",""""main.cluster index_upperinput"""":""""21668.0""""}",This Node is a Singleton,N/A,N/A,N/A,7.9601,7.9601,0,N/A,N/A,36579980,29,21668,-1,29,391.184,1,391.184,36579980,S1270,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,C1CCC(CC1)NC2=NC(=NC3=C2N=CN3C4C(C(C(CO)O4)O)O)N=[N+]=[N-],missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_223,9.791005299212e-05,0.000948377804266764,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""223.0"""",""""main.cluster index_upperinput"""":""""223.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,9.0838,9.0838,0,N/A,N/A,2407251000,123,223,27,123,554.1764,1,554.1764,2407251000,27,26,Organic compounds,0.65384615,Phenylpropanoids and polyketides,0.19629121,Benzene and substituted derivatives,0.10770757,"",0.06498779,Phenylpyrrolidines,0.05769231,Aromatic heteropolycyclic compounds,0.49038462,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_22354,9.83060713342719e-06,0.00102348178137652,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""22354.0"""",""""main.cluster index_upperinput"""":""""22354.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=173&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,5.2377,5.2377,0,N/A,N/A,238010900,21,22354,173,21,555.4372,1,555.4372,238010900,173,17,Organic compounds,0.64705882,Lipids and lipid-like molecules,0.60457516,Prenol lipids,0.34068627,Diterpenoids,0.11764706,Lineolic acids and derivatives,0.07843137,Aliphatic homopolycyclic compounds,0.21078431,CCCCCCCCC=CCCCCCCCC(=NCCCCC(CN=C(C(C(C)(C)CO)O)O)C(=O)O)O,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_2275,0.000108187569426705,0.00220766530021606,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""2275.0"""",""""main.cluster index_upperinput"""":""""2275.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=304&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,"Spectral Match to Cyclopentasiloxane, decamethyl- from NIST14",0.703991,7.9002,7.9002,0,N/A,CCMSLIB00003138218,189567600,115,2275,304,115,371.1012,1,371.1012,189567600,304,11,Organic compounds,1,Organic oxygen compounds,0.32323232,Organooxygen compounds,0.32323232,Carbonyl compounds,0.18181818,Alkyl-phenylketones,0.18181818,Aromatic heteropolycyclic compounds,0.61111111,missing,missing,"Spectral Match to Cyclopentasiloxane, decamethyl- from NIST14",missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_229,0.00188098214002847,0.00145170567524391,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""229.0"""",""""main.cluster index_upperinput"""":""""229.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.5199,0.5199,0,N/A,N/A,1764848000,95,229,85,95,423.9553,1,423.9553,1764848000,85,99,Organic compounds,0.62626263,Organoheterocyclic compounds,0.33272407,Indoles and derivatives,0.18434343,"",0.2843274,Indoles and derivatives,0.18181818,Aromatic heteropolycyclic compounds,0.27734087,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_23270,8.3797955956144e-05,0.000942402768622281,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""23270.0"""",""""main.cluster index_upperinput"""":""""23270.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=34&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.6326,0.6326,0,N/A,N/A,307157600,40,23270,34,40,166.0862,1,166.0862,307157600,34,7,Organic compounds,0.85714286,Organic acids and derivatives,0.38180272,Carboxylic acids and derivatives,0.38180272,"Amino acids, peptides, and analogues",0.38180272,Aminobenzoic acids,0.15476191,Aromatic homomonocyclic compounds,0.58815193,CC1=CC=C(CCC(=O)O)C=N1,missing,missing,CSIFingerID,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Methylpyridines,Methylpyridines
id_24152,0.0490386593916859,0.0112746618598511,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24152.0"""",""""main.cluster index_upperinput"""":""""24152.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=146&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,5.9457,5.9457,0,N/A,N/A,3995249000,69,24152,146,69,504.3432,1,504.3432,3995249000,146,29,Organic compounds,0.96551724,Lipids and lipid-like molecules,0.54125616,Prenol lipids,0.23608374,Glycerophosphocholines,0.14827586,Triterpenoids,0.11625616,Aromatic heteropolycyclic compounds,0.29716749,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_24367,2.77316146777372e-05,0.00118947198312523,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24367.0"""",""""main.cluster index_upperinput"""":""""24367.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=114&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,6.5492,6.5492,0,N/A,N/A,38836430,39,24367,114,39,329.2477,1,329.2477,38836430,114,42,Organic compounds,1,Lipids and lipid-like molecules,0.86692177,Prenol lipids,0.44030612,Diterpenoids,0.26193311,Diterpenoids,0.25172902,Aromatic homopolycyclic compounds,0.29532313,CC12CCC3=C4CCCC=C4CCC3C2CCC1CCCC(=O)O,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_24486,0.082147381241905,0.0132130424423701,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24486.0"""",""""main.cluster index_upperinput"""":""""24486.0""""}",This Node is a Singleton,N/A,"Spectral Match to cis-7,10,13,16-Docosatetraenoic acid from NIST14",0.87671,9.2636,9.2636,0,N/A,CCMSLIB00003138871,221083700,45,24486,-1,45,333.2788,1,333.2788,221083700,S1453,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)O,missing,"Spectral Match to cis-7,10,13,16-Docosatetraenoic acid from NIST14",CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids
id_24662,0.000807634180353079,0.00292344463137432,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24662.0"""",""""main.cluster index_upperinput"""":""""24662.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=30&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,8.2569,8.2569,0,N/A,N/A,107840500,46,24662,30,46,577.1743,1,577.1743,107840500,30,15,Organic compounds,1,Phenylpropanoids and polyketides,0.44476191,Flavonoids,0.27812169,Flavonoid glycosides,0.20701058,Phenolic glycosides,0.07962963,Aromatic heteropolycyclic compounds,0.69354497,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_24743,4.47869229961511e-05,0.0011578111946533,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24743.0"""",""""main.cluster index_upperinput"""":""""24743.0""""}",This Node is a Singleton,N/A,N/A,N/A,7.5259,7.5259,0,N/A,N/A,44021050,31,24743,-1,31,441.2416,1,441.2416,44021050,S1475,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCCCCS(=O)(=O)CC(=NCC1=CC=CC(=C1)OCCN(C)C2CCOCC2)O,missing,missing,CSIFingerID,Organic compounds,Benzenoids,Phenol ethers,unclassified,Phenol ethers
id_24792,1.61533889818223e-05,0.00159657847501236,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24792.0"""",""""main.cluster index_upperinput"""":""""24792.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=146&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14,0.990101,6.6471,6.6471,0,N/A,CCMSLIB00003135716,65275610,42,24792,146,42,546.3539,1,546.3539,65275610,146,29,Organic compounds,0.96551724,Lipids and lipid-like molecules,0.54125616,Prenol lipids,0.23608374,Glycerophosphocholines,0.14827586,Triterpenoids,0.11625616,Aromatic heteropolycyclic compounds,0.29716749,CCC(C)C(C(=NC(CC(C(CC1=CC=CC=C1)N=C(CCC(=O)OC)O)O)C2CCCCC2)O)N=C(C)O,missing,Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14,CSIFingerID,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives
id_249,0.000471995367514995,0.00167294342108584,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""249.0"""",""""main.cluster index_upperinput"""":""""249.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=812&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,0.544,0.544,0,N/A,N/A,836295400,90,249,812,90,386.9246,1,386.9246,836295400,812,7,Organic compounds,0.42857143,Benzenoids,0.16666667,Coumarins and derivatives,0.14285714,"",0.14285714,Coumarins and derivatives,0.14285714,Aromatic heteropolycyclic compounds,0.14285714,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
id_24945,3.72758477039648e-05,0.00238794358365925,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24945.0"""",""""main.cluster index_upperinput"""":""""24945.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=317&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,7.4243,7.4243,0,N/A,N/A,26152720,32,24945,317,32,403.2848,1,403.2848,26152720,317,3,Organic compounds,1,Lipids and lipid-like molecules,0.47777778,Organooxygen compounds,0.17777778,Carbohydrates and carbohydrate conjugates,0.17777778,C-glycosyl compounds,0.17777778,Aliphatic homopolycyclic compounds,0.3,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(CO)O,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,1-monoacylglycerols
id_2520,0.000390079254876647,0.00234347768065581,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""2520.0"""",""""main.cluster index_upperinput"""":""""2520.0""""}",This Node is a Singleton,N/A,"Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14",0.879058,7.3033,7.3033,0,N/A,CCMSLIB00003135658,152346400,69,2520,-1,69,277.2164,1,277.2164,152346400,S209,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCC=CCC=CCC=CCC=CCCCCC(=O)O,missing,"Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14",CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives
id_25235,0.000745210594872723,0.00273301045406309,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25235.0"""",""""main.cluster index_upperinput"""":""""25235.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,7.1048,7.1048,0,N/A,N/A,162224200,39,25235,117,39,331.2633,1,331.2633,162224200,117,4,Organic compounds,1,Lipids and lipid-like molecules,1,Fatty Acyls,0.77777778,Fatty acids and conjugates,0.55555556,Very long-chain fatty acids,0.55555556,Aliphatic acyclic compounds,0.77777778,CCC=CCCC=CCC=CCC=CCC=CCCCCC(=O)O,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_25238,4.30127149176572e-05,0.00189186920790348,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25238.0"""",""""main.cluster index_upperinput"""":""""25238.0""""}",This Node is a Singleton,N/A,N/A,N/A,7.48,7.48,0,N/A,N/A,118202000,38,25238,-1,38,425.2662,1,425.2662,118202000,S1523,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_25695,9.99179261072839e-05,0.00147058937396097,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25695.0"""",""""main.cluster index_upperinput"""":""""25695.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,6.391,6.391,0,N/A,N/A,136159600,62,25695,5,62,496.3768,1,496.3768,136159600,5,14,Organic compounds,1,Lipids and lipid-like molecules,0.72619048,Glycerophospholipids,0.26360544,Glycerophosphocholines,0.26360544,Monoalkylglycerophosphocholines,0.21938775,Aliphatic acyclic compounds,0.26360544,CCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Monoalkylglycerophosphocholines
id_25696,0.0174076945691397,0.00589343965809202,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25696.0"""",""""main.cluster index_upperinput"""":""""25696.0""""}",This Node is a Singleton,N/A,Spectral Match to Lyso-PAF C-18 from NIST14,0.954338,6.8909,6.8909,0,N/A,CCMSLIB00003139930,2748890000,63,25696,-1,63,510.3927,1,510.3927,2748890000,S1559,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O,missing,Spectral Match to Lyso-PAF C-18 from NIST14,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Monoalkylglycerophosphocholines
id_25739,9.75345338278586e-06,0.00139793621013133,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25739.0"""",""""main.cluster index_upperinput"""":""""25739.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=243&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,6.1514,6.1514,0,N/A,N/A,69185640,35,25739,243,35,508.3771,1,508.3771,69185640,243,7,Organic compounds,0.71428571,Lipids and lipid-like molecules,0.45102041,Prenol lipids,0.25714286,"",0.11428571,Macrolactams,0.11428571,Aromatic heteropolycyclic compounds,0.29795918,CCCCCCCCC=CCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O,missing,missing,CSIFingerID,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Monoalkylglycerophosphocholines
id_25755,0.0176549834531896,0.00946733864764836,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25755.0"""",""""main.cluster index_upperinput"""":""""25755.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=146&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,Spectral Match to Lyso-PAF C-18 from NIST14,0.935057,6.8914,6.8914,0,N/A,CCMSLIB00003137258,616428300,49,25755,146,49,532.3744,1,532.3744,616428300,146,29,Organic compounds,0.96551724,Lipids and lipid-like molecules,0.54125616,Prenol lipids,0.23608374,Glycerophosphocholines,0.14827586,Triterpenoids,0.11625616,Aromatic heteropolycyclic compounds,0.29716749,CCCCCCCCCCCCCCCC(=NCC(=NC(C)C(=NC(CC1=CC=CC=C1)C(=O)O)O)O)O,missing,Spectral Match to Lyso-PAF C-18 from NIST14,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_25758,3.70620709183157e-05,0.00164963194700037,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25758.0"""",""""main.cluster index_upperinput"""":""""25758.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.2599,8.2599,0,N/A,N/A,69980330,39,25758,-1,39,645.1619,1,645.1619,69980330,S1569,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_25774,1.94359717362694e-05,0.00238215233873412,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25774.0"""",""""main.cluster index_upperinput"""":""""25774.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.2564,8.2564,0,N/A,N/A,153756400,33,25774,-1,33,723.4338,1,723.4338,153756400,S1574,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
id_25788,1.24804792253633e-05,0.00304351843555951,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25788.0"""",""""main.cluster index_upperinput"""":""""25788.0""""}",This Node is a Singleton,N/A,N/A,N/A,8.2565,8.2565,0,N/A,N/A,82226460,34,25788,-1,34,311.2367,1,311.2367,82226460,S1579,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,CC(=CC=O)C=CC=C(C)C1=CC2=C(C)CCCC2(C)CCC1,missing,missing,CSIFingerID,unclassified,unclassified,unclassified,unclassified,unclassified
id_25789,0.0503290728457409,0.00775993427399673,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25789.0"""",""""main.cluster index_upperinput"""":""""25789.0""""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=629&task=94d7974737ba4a4c82453f11a3ee1a41&show=true,N/A,N/A,N/A,5.9445,5.9445,0,N/A,N/A,597598800,50,25789,629,50,572.33,1,572.33,597598800,629,15,Organic compounds,0.8,Lipids and lipid-like molecules,0.27111111,Prenol lipids,0.25444444,"",0.16111111,Macrolactams,0.09444444,Aromatic heteropolycyclic compounds,0.32777778,missing,missing,missing,missing,unclassified,unclassified,unclassified,unclassified,unclassified
