sampleid	ATTRIBUTE_MostAbundant	ATTRIBUTE_SampleType	ATTRIBUTE_Site_code	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
metabolite25287	Limu	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25287.0"",""main.cluster index_upperinput"":""25287.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=305&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to 9-OxoOTrE from NIST14	0.819867	4.9124	4.9124	0	N/A	CCMSLIB00003139019	10624188.11	14	305	14	275.2005	1	275.2005	10624188.11
metabolite25290	Coral	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25290.0"",""main.cluster index_upperinput"":""25290.0""}"	This Node is a Singleton	N/A	Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14	0.959982	6.037	6.037	0	N/A	CCMSLIB00003134521	13903308.24	13	-1	13	510.3564	1	510.3564	13903308.24
metabolite25296	CCA	Limu,CCA	M3,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25296.0"",""main.cluster index_upperinput"":""25296.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=165&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	3.457	3.457	0	N/A	N/A	26250733.66	10	165	10	227.164	1	227.164	26250733.66
metabolite25304	CCA	Limu,CCA	M3,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25304.0"",""main.cluster index_upperinput"":""25304.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.3364	5.3364	0	N/A	N/A	10182559.55	5	-1	5	283.2055	1	283.2055	10182559.55
metabolite25311	CCA	Limu,CCA	M3,M4,nan	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25311.0"",""main.cluster index_upperinput"":""25311.0""}"	This Node is a Singleton	N/A	N/A	N/A	8.1737	8.1737	0	N/A	N/A	2450375.029	3	-1	3	509.3613	1	509.3613	2450375.029
metabolite25313	Limu	Limu	M3,M4,nan	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25313.0"",""main.cluster index_upperinput"":""25313.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	9.5488	9.5488	0	N/A	N/A	3880166.349	3	27	3	614.1432	1	614.1432	3880166.349
metabolite25322	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25322.0"",""main.cluster index_upperinput"":""25322.0""}"	This Node is a Singleton	N/A	N/A	N/A	3.7179	3.7179	0	N/A	N/A	122591265.8	28	-1	28	220.9347	1	220.9347	122591265.8
metabolite25330	Limu	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25330.0"",""main.cluster index_upperinput"":""25330.0""}"	This Node is a Singleton	N/A	N/A	N/A	4.1289	4.1289	0	N/A	N/A	3042220.788	7	-1	7	405.2284	1	405.2284	3042220.788
metabolite25336	CCA	Coral,Limu,CCA	M3,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25336.0"",""main.cluster index_upperinput"":""25336.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=9&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.2832	5.2832	0	N/A	N/A	1820439.821	6	9	6	365.2688	1	365.2688	1820439.821
metabolite25345	Limu	Limu	M3,M4,nan	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25345.0"",""main.cluster index_upperinput"":""25345.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=163&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	0.6944	0.6944	0	N/A	N/A	3163768.638	4	163	4	354.7384	1	354.7384	3163768.638
metabolite25347	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25347.0"",""main.cluster index_upperinput"":""25347.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.6594	5.6594	0	N/A	N/A	41578682.41	21	-1	21	289.178	1	289.178	41578682.41
metabolite25363	CCA	Coral,Limu,CCA	M3,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25363.0"",""main.cluster index_upperinput"":""25363.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.2792	5.2792	0	N/A	N/A	20263391.73	5	-1	5	349.1989	1	349.1989	20263391.73
metabolite25367	CCA	Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25367.0"",""main.cluster index_upperinput"":""25367.0""}"	This Node is a Singleton	N/A	N/A	N/A	2.639	2.639	0	N/A	N/A	77093641.24	11	-1	11	225.1099	1	225.1099	77093641.24
metabolite25368	Coral	Coral,Limu,CCA	M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25368.0"",""main.cluster index_upperinput"":""25368.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=311&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	7.9074	7.9074	0	N/A	N/A	1620618.728	3	311	3	405.2994	1	405.2994	1620618.728
metabolite25378	CCA	Limu,CCA	M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25378.0"",""main.cluster index_upperinput"":""25378.0""}"	This Node is a Singleton	N/A	N/A	N/A	6.058	6.058	0	N/A	N/A	15979402.83	16	-1	16	337.2362	1	337.2362	15979402.83
metabolite25387	CCA	Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25387.0"",""main.cluster index_upperinput"":""25387.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=80&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.0047	5.0047	0	N/A	N/A	30007880.89	10	80	10	472.3635	1	472.3635	30007880.89
metabolite25388	CCA	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25388.0"",""main.cluster index_upperinput"":""25388.0""}"	This Node is a Singleton	N/A	Spectral Match to 8S-Hydroxy-9E,11Z,14Z-eicosatrienoic acid from NIST14	0.767836	6.0325	6.0325	0	N/A	CCMSLIB00003134506	4218849.132	5	-1	5	305.2469	1	305.2469	4218849.132
metabolite25389	Coral	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25389.0"",""main.cluster index_upperinput"":""25389.0""}"	This Node is a Singleton	N/A	N/A	N/A	6.2839	6.2839	0	N/A	N/A	20177831.88	26	-1	26	365.209	1	365.209	20177831.88
metabolite25391	CCA	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25391.0"",""main.cluster index_upperinput"":""25391.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=48&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	6.1833	6.1833	0	N/A	N/A	4013555.581	7	48	7	255.2319	1	255.2319	4013555.581
metabolite25395	CCA	Coral,Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25395.0"",""main.cluster index_upperinput"":""25395.0""}"	This Node is a Singleton	N/A	N/A	N/A	7.0772	7.0772	0	N/A	N/A	12897132.99	8	-1	8	389.2666	1	389.2666	12897132.99
metabolite254	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""254.0"",""main.cluster index_upperinput"":""254.0""}"	This Node is a Singleton	N/A	N/A	N/A	9.2921	9.2921	0	N/A	N/A	3236414075	118	-1	118	406.3297	1	406.3297	3236414075
metabolite25406	Limu	Limu	M3,M4,nan	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25406.0"",""main.cluster index_upperinput"":""25406.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=423&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.6708	4.6708	0	N/A	N/A	1815007.448	5	423	5	387.1734	1	387.1734	1815007.448
metabolite25412	CCA	Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25412.0"",""main.cluster index_upperinput"":""25412.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=475&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	1.7341	1.7341	0	N/A	N/A	29080093.26	9	475	9	231.1705	1	231.1705	29080093.26
metabolite25419	CCA	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25419.0"",""main.cluster index_upperinput"":""25419.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=113&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.4001	5.4001	0	N/A	N/A	20200848.72	12	113	12	323.2214	1	323.2214	20200848.72
metabolite25421	CCA	Coral,Limu,CCA,Blank	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25421.0"",""main.cluster index_upperinput"":""25421.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	7.2897	7.2897	0	N/A	N/A	139667389	9	186	9	191.0701	1	191.0701	139667389
metabolite2543	Limu	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2543.0"",""main.cluster index_upperinput"":""2543.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=29&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	5.7899	5.7899	0	N/A	N/A	9734382.524	18	29	18	363.1903	1	363.1903	9734382.524
metabolite25448	CCA	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25448.0"",""main.cluster index_upperinput"":""25448.0""}"	This Node is a Singleton	N/A	N/A	N/A	3.913	3.913	0	N/A	N/A	6559974.035	6	-1	6	367.2106	1	367.2106	6559974.035
metabolite25451	CCA	Limu,CCA	M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25451.0"",""main.cluster index_upperinput"":""25451.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=166&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	3.3657	3.3657	0	N/A	N/A	7485402.595	7	166	7	267.1211	1	267.1211	7485402.595
metabolite25452	Limu	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25452.0"",""main.cluster index_upperinput"":""25452.0""}"	This Node is a Singleton	N/A	N/A	N/A	4.0702	4.0702	0	N/A	N/A	17886209.13	9	-1	9	371.1827	1	371.1827	17886209.13
metabolite25455	CCA	Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25455.0"",""main.cluster index_upperinput"":""25455.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.0428	5.0428	0	N/A	N/A	44971108.43	11	-1	11	627.4565	1	627.4565	44971108.43
metabolite25458	CCA	Limu,CCA,Blank	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25458.0"",""main.cluster index_upperinput"":""25458.0""}"	This Node is a Singleton	N/A	N/A	N/A	6.1381	6.1381	0	N/A	N/A	17312372.85	17	-1	17	487.0922	1	487.0922	17312372.85
metabolite25466	Coral	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25466.0"",""main.cluster index_upperinput"":""25466.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=114&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to 19(20)-EpDPE from NIST14	0.780783	8.1797	8.1797	0	N/A	CCMSLIB00003136864	14564032.65	19	114	19	327.2319	1	327.2319	14564032.65
metabolite25467	CCA	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25467.0"",""main.cluster index_upperinput"":""25467.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.9724	5.9724	0	N/A	N/A	9067993.528	14	-1	14	283.2052	1	283.2052	9067993.528
metabolite25476	CCA	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25476.0"",""main.cluster index_upperinput"":""25476.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.341	5.341	0	N/A	N/A	47391370.78	13	-1	13	343.2252	1	343.2252	47391370.78
metabolite25479	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25479.0"",""main.cluster index_upperinput"":""25479.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1367&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.6641	4.6641	0	N/A	N/A	13473595.78	16	1367	16	273.1853	1	273.1853	13473595.78
metabolite25482	CCA	Limu,CCA	M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25482.0"",""main.cluster index_upperinput"":""25482.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=687&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.7701	4.7701	0	N/A	N/A	24366176.92	9	687	9	365.1949	1	365.1949	24366176.92
metabolite25489	CCA	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25489.0"",""main.cluster index_upperinput"":""25489.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=135&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid from NIST14	0.939211	4.7943	4.7943	0	N/A	CCMSLIB00003136281	73510854.66	14	135	14	277.2162	1	277.2162	73510854.66
metabolite25495	CCA	Coral,Limu,CCA	M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25495.0"",""main.cluster index_upperinput"":""25495.0""}"	This Node is a Singleton	N/A	N/A	N/A	4.0962	4.0962	0	N/A	N/A	80667430.15	10	-1	10	321.1687	1	321.1687	80667430.15
metabolite25496	CCA	Coral,Limu,CCA	M3,M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25496.0"",""main.cluster index_upperinput"":""25496.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=870&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.5038	4.5038	0	N/A	N/A	6173203.712	15	870	15	273.1846	1	273.1846	6173203.712
metabolite255	Limu	Coral,Limu,CCA,Blank	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""255.0"",""main.cluster index_upperinput"":""255.0""}"	This Node is a Singleton	N/A	N/A	N/A	4.3199	4.3199	0	N/A	N/A	138550224.7	120	-1	120	266.1729	1	266.1729	138550224.7
metabolite25508	CCA	Limu,CCA	M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25508.0"",""main.cluster index_upperinput"":""25508.0""}"	This Node is a Singleton	N/A	N/A	N/A	7.734	7.734	0	N/A	N/A	1870211.384	3	-1	3	401.2664	1	401.2664	1870211.384
metabolite25520	CCA	Coral,Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25520.0"",""main.cluster index_upperinput"":""25520.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=665&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	6.9697	6.9697	0	N/A	N/A	7761838.391	9	665	9	251.2369	1	251.2369	7761838.391
metabolite25526	CCA	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25526.0"",""main.cluster index_upperinput"":""25526.0""}"	This Node is a Singleton	N/A	N/A	N/A	5.9771	5.9771	0	N/A	N/A	6669026.557	7	-1	7	333.2424	1	333.2424	6669026.557
metabolite25528	Coral	Coral,Limu,CCA	M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25528.0"",""main.cluster index_upperinput"":""25528.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=607&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.9835	4.9835	0	N/A	N/A	4985311.373	11	607	11	295.226	1	295.226	4985311.373
metabolite25530	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25530.0"",""main.cluster index_upperinput"":""25530.0""}"	This Node is a Singleton	N/A	N/A	N/A	4.3553	4.3553	0	N/A	N/A	160511115.6	21	-1	21	345.1679	1	345.1679	160511115.6
metabolite25537	Limu	Limu,CCA	M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25537.0"",""main.cluster index_upperinput"":""25537.0""}"	This Node is a Singleton	N/A	N/A	N/A	3.5471	3.5471	0	N/A	N/A	1128809.513	5	-1	5	363.1808	1	363.1808	1128809.513
metabolite25557	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25557.0"",""main.cluster index_upperinput"":""25557.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=54&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.5058	4.5058	0	N/A	N/A	26822113.34	26	54	26	293.2111	1	293.2111	26822113.34
metabolite25563	CCA	Limu,CCA	M6,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25563.0"",""main.cluster index_upperinput"":""25563.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=411&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	3.7735	3.7735	0	N/A	N/A	65625020.79	11	411	11	367.2117	1	367.2117	65625020.79
metabolite25565	CCA	Coral,Limu,CCA	M3,M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25565.0"",""main.cluster index_upperinput"":""25565.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=100&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to 9-OxoOTrE from NIST14	0.740247	4.648	4.648	0	N/A	CCMSLIB00003139019	45749508.98	11	100	11	275.2005	1	275.2005	45749508.98
metabolite25573	CCA	Limu,CCA	M4,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25573.0"",""main.cluster index_upperinput"":""25573.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=505&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to Leu-Val from NIST14	0.967371	1.3726	1.3726	0	N/A	CCMSLIB00003139095	4190523.801	5	505	5	231.1705	1	231.1705	4190523.801
metabolite25585	CCA	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""25585.0"",""main.cluster index_upperinput"":""25585.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=273&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	N/A	N/A	4.6245	4.6245	0	N/A	N/A	39918709.95	23	273	23	293.2108	1	293.2108	39918709.95
metabolite256	Limu	Coral,Limu,CCA	M3,M6,M4,M5,nan,M7	"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""256.0"",""main.cluster index_upperinput"":""256.0""}"	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=114&task=94d7974737ba4a4c82453f11a3ee1a41&show=true	N/A	Spectral Match to (.+/-.)-8-Hydroxy-5Z,9E,11Z,14Z,17Z-eicosapentaenoic acid from NIST14	0.804208	5.9593	5.9593	0	N/A	CCMSLIB00003137690	479119621.2	57	114	57	301.2164	1	301.2164	479119621.2
