"","featureID","p_val","sum_sq","f_val","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","adj_p_val","Limu_MA","Coral_MA","CCA_MA","sample_type_DA","CCA","Coral","Limu","MeanDecreaseAccuracy","MeanDecreaseGini","RF_selection","LM_selection","X","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","LibraryID","MQScore","RTConsensus","RTMean","RTStdErr","Smiles","SpectrumID","SumPeakIntensity","UniqueFileSourcesCount","cluster.index","componentindex","number.of.spectra","parent.mass","precursor.charge","precursor.mass","sum.precursor.intensity.","MolNetEnhancer_CF_componentindex","MolNetEnhancer_CF_NrNodes","MolNetEnhancer_CF_kingdom","MolNetEnhancer_CF_kingdom_score","MolNetEnhancer_CF_superclass","MolNetEnhancer_CF_superclass_score","MolNetEnhancer_CF_class","MolNetEnhancer_CF_class_score","MolNetEnhancer_CF_subclass","MolNetEnhancer_CF_subclass_score","MolNetEnhancer_CF_Dparent","MolNetEnhancer_CF_Dparent_score","MolNetEnhancer_CF_MFramework","MolNetEnhancer_CF_MFramework_score","Qemistree_csi_smiles","Qemistree_ms2_smiles","Qemistree_ms2_library_match","Qemistree_structure_source","Qemistree_kingdom","Qemistree_superclass","Qemistree_class","Qemistree_subclass","Qemistree_direct_parent"
"23","id_1649",6.86018423222814e-11,282.290980070239,29.8441843592469,2.48190393381444,5.64183462126167e-06,4.27802313433766,1.99001037870516e-10,1.79611920052322,0.0047671564461218,5.21244564210995e-09,4.85742623054234,3.06130703001912,0.579403096204678,"CoralLimu",0.00375989010989011,0.00075855614973262,0.00902878787878788,0.0035962036094299,0.344908529374869,"Important","Significant","id_1649","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1649.0"""",""""main.cluster index_upperinput"""":""""1649.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.5208,0.5208,0,"N/A","N/A",157278500,64,1649,85,64,214.0048,1,214.0048,157278500,"85",99,"Organic compounds",0.62626263,"Organoheterocyclic compounds",0.33272407,"Indoles and derivatives",0.18434343,"",0.2843274,"Indoles and derivatives",0.18181818,"Aromatic heteropolycyclic compounds",0.27734087,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"24","id_166",8.19557558412363e-05,131.213663751843,10.3529378050475,2.51825015925193,6.94161593394194e-05,1.93163407758649,0.0116778686360964,-0.586616081665432,0.634845477895626,0.000634074598986856,6.05794139540942,6.64455747707485,4.12630731782292,"CoralLimu",0.00620575149824376,0.00174199134199134,0.000890864690864691,0.0031027852741079,0.317863362944846,"Important","Significant","id_166","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""166.0"""",""""main.cluster index_upperinput"""":""""166.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=380&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","Spectral Match to Lyso-PC(16:0) from NIST14","0.969326",5.7755,5.7755,0,"N/A","CCMSLIB00003136336",2733021000,91,166,380,91,496.3405,1,496.3405,2733021000,"380",24,"Organic compounds",1,"Lipids and lipid-like molecules",0.76101191,"Glycerophospholipids",0.48531746,"Glycerophosphocholines",0.42876984,"2-acyl-sn-glycero-3-phosphocholines",0.25362103,"Aliphatic acyclic compounds",0.49573413,"CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O","missing","Spectral Match to Lyso-PC(16:0) from NIST14","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines"
"25","id_1719",1.70519496445025e-10,269.984810415533,28.4033326677381,3.56118497804504,3.96519816980856e-10,2.94904931514485,3.71860196801688e-06,-0.612135662900187,0.517964597743066,1.19422958640716e-08,3.13870037481689,3.75083603771708,0.189651059672043,"CoralLimu",0.00241928904428904,0.000265201465201465,0.000186507936507937,0.000994913151010712,0.174818344701819,"Important","Significant","id_1719","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1719.0"""",""""main.cluster index_upperinput"""":""""1719.0""""}","This Node is a Singleton","N/A","Spectral Match to 19(20)-EpDPE from NIST14","0.747446",6.1618,6.1618,0,"N/A","CCMSLIB00003136864",168661600,62,1719,-1,62,327.2322,1,327.2322,168661600,"S178",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"CC#CC1(CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C)O","missing","Spectral Match to 19(20)-EpDPE from NIST14","CSIFingerID","unclassified","unclassified","unclassified","unclassified","unclassified"
"26","id_17205",5.94814554220327e-24,524.04583285291,95.7076562868413,4.66574949328461,1.21428866961537e-10,0.198916321590017,0.890645142536701,-4.46683317169459,1.21448184842166e-10,2.17756200895023e-21,-0.491138444504624,3.97569472718997,-0.690054766094642,"Coral",0.00188499245852187,0.00216117216117216,0.00233492063492063,0.00203766728890559,0.158979606220683,"Important","Significant","id_17205","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""17205.0"""",""""main.cluster index_upperinput"""":""""17205.0""""}","This Node is a Singleton","N/A","N/A","N/A",9.0645,9.0645,0,"N/A","N/A",89683260,38,17205,-1,38,317.3053,1,317.3053,89683260,"S1075",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"CCCCCCCCCCCCCCCCOCC(CO)O","missing","missing","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","Monoalkylglycerols"
"27","id_17394",8.02219992680017e-16,516.868564306458,50.2037869049537,4.98570092582113,1.21457066626363e-10,1.4193890078542,0.0490633175560339,-3.56631191796693,4.96931478188856e-08,1.65668713360125e-13,0.86912333404044,4.43543525200737,-0.550265673813761,"CoralLimu",0.00414947209653092,0.00262696078431373,0.00166515151515152,0.00301617411957969,0.283705380342036,"Important","Significant","id_17394","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""17394.0"""",""""main.cluster index_upperinput"""":""""17394.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=317&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",7.5259,7.5259,0,"N/A","N/A",227738900,45,17394,317,45,403.2848,1,403.2848,227738900,"317",3,"Organic compounds",1,"Lipids and lipid-like molecules",0.47777778,"Organooxygen compounds",0.17777778,"Carbohydrates and carbohydrate conjugates",0.17777778,"C-glycosyl compounds",0.17777778,"Aliphatic homopolycyclic compounds",0.3,"CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)CO","missing","missing","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","2-monoacylglycerols"
"28","id_1803",2.83143770656709e-11,374.335898036033,31.2699259629163,4.36187951200303,1.32228672455881e-10,2.38396842264017,0.000959934742189805,-1.97791108936287,0.00587900454906642,2.35096899883416e-09,1.74826147666593,3.72617256602879,-0.63570694597424,"CoralLimu",0.00393771460737405,0.00056390977443609,0.00138888888888889,0.0019525541605857,0.184817811988979,"Important","Significant","id_1803","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1803.0"""",""""main.cluster index_upperinput"""":""""1803.0""""}","This Node is a Singleton","N/A","N/A","N/A",7.5009,7.5009,0,"N/A","N/A",202960100,45,1803,-1,45,425.2666,1,425.2666,202960100,"S182",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
"29","id_1821",0.000535428405969983,80.6031623361709,8.12941818953828,-1.74390812948973,0.00217633697471387,0.135336324701591,0.97079477119491,1.87924445419132,0.00382158269583965,0.0028653424463005,3.96736116363726,2.08811670944594,3.83202483893567,"CCALimu",0.00025959595959596,0.00232574696545285,0.000303030303030303,0.0011048551499771,0.141875834480006,"Important","Not Significant","id_1821","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1821.0"""",""""main.cluster index_upperinput"""":""""1821.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",9.0861,9.0861,0,"N/A","N/A",289572000,88,1821,27,88,537.1498,1,537.1498,289572000,"27",26,"Organic compounds",0.65384615,"Phenylpropanoids and polyketides",0.19629121,"Benzene and substituted derivatives",0.10770757,"",0.06498779,"Phenylpyrrolidines",0.05769231,"Aromatic heteropolycyclic compounds",0.49038462,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"30","id_1841",0.0052848085358034,62.2294005268811,5.52766600864812,-0.569688885281056,0.537971467853014,1.4389053335676,0.058431897075143,2.00859421884866,0.00370176377983722,0.0165505449899934,3.64466150607489,1.63606728722623,2.20575617250729,"Limu",-5e-04,0.00228950216450216,0.00196904761904762,0.0012337316905626,0.175242586510595,"Important","Not Significant","id_1841","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1841.0"""",""""main.cluster index_upperinput"""":""""1841.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=734&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14","0.853964",6.3787,6.3787,0,"N/A","CCMSLIB00003134757",103806900,66,1841,734,66,277.2164,1,277.2164,103806900,"734",8,"Organic compounds",1,"Lipids and lipid-like molecules",1,"Fatty Acyls",0.675,"Lineolic acids and derivatives",0.37767857,"Lineolic acids and derivatives",0.37767857,"Aliphatic acyclic compounds",0.77410714,"CCC=CC=CC=CC=CCCCCCCCC(=O)O","missing","Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives"
"31","id_18434",1.13837642380501e-08,324.718546830726,22.0848977035666,0.321099077703696,0.859177113911822,-4.01618786307571,4.49864432039426e-07,-4.3372869407794,3.02450300360135e-08,4.3044524494486e-07,-0.714679109711218,3.62260783106819,3.30150875336449,"CoralCCA",0.000758241758241758,0.000339181286549708,0.00511111111111111,0.00151847988874626,0.153231152755786,"Important","Significant","id_18434","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""18434.0"""",""""main.cluster index_upperinput"""":""""18434.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=924&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.6149,0.6149,0,"N/A","N/A",462739700,60,18434,924,60,206.0458,1,206.0458,462739700,"924",3,"Organic compounds",0.33333333,"Organoheterocyclic compounds",0.29166667,"Quinolines and derivatives",0.16666667,"Quinoline carboxylic acids",0.16666667,"Quinoline carboxylic acids",0.16666667,"Aromatic heteropolycyclic compounds",0.33333333,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"32","id_1901",6.99473934107102e-08,510.57989453257,19.5143671945828,3.34660835437305,0.000243433353212863,-2.1917973363785,0.0586969815162871,-5.53840569075155,1.02065946250285e-07,1.99771739904206e-06,2.15790111420809,7.69630680495964,4.34969845058659,"Coral",0.00353245614035088,0.00283405103668262,0.00190874125874126,0.00299014695407884,0.316379874225765,"Important","Significant","id_1901","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1901.0"""",""""main.cluster index_upperinput"""":""""1901.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14","0.983377",5.9366,5.9366,0,"N/A","CCMSLIB00003134553",11122760000,82,1901,5,82,482.3613,1,482.3613,11122760000,"5",14,"Organic compounds",1,"Lipids and lipid-like molecules",0.72619048,"Glycerophospholipids",0.26360544,"Glycerophosphocholines",0.26360544,"Monoalkylglycerophosphocholines",0.21938775,"Aliphatic acyclic compounds",0.26360544,"CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O","missing","Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Monoalkylglycerophosphocholines"
"33","id_191",1.24825653597135e-12,262.134488977688,36.5055411667116,3.02751060122401,7.12047532047677e-10,3.71803605552785,2.06483274922675e-10,0.69052545430384,0.332404498759484,1.37718604667305e-10,7.32406379925484,6.633538344951,3.606027743727,"CoralLimu",0.00218492781728076,0.00102577597840756,0.00374365079365079,0.00216488569783046,0.358333412522878,"Important","Significant","id_191","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""191.0"""",""""main.cluster index_upperinput"""":""""191.0""""}","This Node is a Singleton","N/A","N/A","N/A",0.5203,0.5203,0,"N/A","N/A",1747739000,92,191,-1,92,220.9813,1,220.9813,1747739000,"S26",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"34","id_1940",8.43608563512647e-14,208.061064941287,41.2950403161934,3.2380175977397,1.21490928428614e-10,2.03562069723463,1.12994101484354e-05,-1.20239690050508,0.0106207943360754,1.11383989680834e-11,1.70878418304133,2.9111810835464,-0.3268365141933,"CoralLimu",0.0033259324009324,0.000718181818181818,-0.00116666666666667,0.00124415373835153,0.189976846669782,"Important","Significant","id_1940","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""1940.0"""",""""main.cluster index_upperinput"""":""""1940.0""""}","This Node is a Singleton","N/A","N/A","N/A",8.3406,8.3406,0,"N/A","N/A",28773050,58,1940,-1,58,353.2664,1,353.2664,28773050,"S188",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
"35","id_2014",5.38045638609337e-08,146.318804964113,19.8801167714813,2.66651417922303,4.49303729777029e-08,0.825563097485292,0.232959541327634,-1.84095108173774,0.000858117754224619,1.59904781304782e-06,0.269112804114912,2.11006388585265,-0.556450293370379,"Coral",0.000885294117647059,0.00132738095238095,0.00123809523809524,0.00111037052089684,0.0670001515661188,"Important","Significant","id_2014","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""2014.0"""",""""main.cluster index_upperinput"""":""""2014.0""""}","This Node is a Singleton","N/A","N/A","N/A",7.1595,7.1595,0,"N/A","N/A",40201620,34,2014,-1,34,375.2511,1,375.2511,40201620,"S190",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D","#N/D"
"36","id_21118",3.15597085309131e-27,575.947516018717,119.428842818063,4.97710299523585,1.21427090604698e-10,0.451302099179014,0.510863099338076,-4.52580089605684,1.21438192834944e-10,1.58863682817484e-24,0.502353031673031,5.02815392772987,0.0510509324940175,"Coral",0.00415288045288045,0.0099564479638009,0.00356616161616162,0.00631067255756038,0.531769768336725,"Important","Significant","id_21118","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""21118.0"""",""""main.cluster index_upperinput"""":""""21118.0""""}","This Node is a Singleton","N/A","Spectral Match to cis-7,10,13,16,19-Docosapentaenoic acid from NIST14","0.874781",8.625,8.625,0,"N/A","CCMSLIB00003135487",170471400,58,21118,-1,58,331.2628,1,331.2628,170471400,"S1236",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)O","missing","Spectral Match to cis-7,10,13,16,19-Docosapentaenoic acid from NIST14","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids"
"37","id_216",1.96452813385896e-09,67.5326767409065,24.6628973913016,1.38729505496389,2.46469949183314e-06,2.00721657255416,7.83259790360091e-09,0.619921517590272,0.101213826414245,9.95113810698115e-08,7.07847413042921,6.45855261283894,5.07125755787505,"CoralLimu",0.00216336996336996,0.000273890608875129,0.00675,0.00243528187998272,0.260538342964408,"Important","Significant","id_216","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""216.0"""",""""main.cluster index_upperinput"""":""""216.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.52,0.52,0,"N/A","N/A",1364989000,100,216,85,100,286.9583,1,286.9583,1364989000,"85",99,"Organic compounds",0.62626263,"Organoheterocyclic compounds",0.33272407,"Indoles and derivatives",0.18434343,"",0.2843274,"Indoles and derivatives",0.18181818,"Aromatic heteropolycyclic compounds",0.27734087,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"38","id_21668",3.07690965392527e-15,218.25440860207,47.5456056250114,2.95523600885559,1.21719967438594e-10,-0.017556606089121,0.998922761578396,-2.97279261494471,1.56377688576015e-10,5.63214326198048e-13,-0.764123798841693,2.20866881610302,-0.746567192752571,"Coral",0.00407174459527401,0.00292052510612882,0.00366695526695527,0.00346788324763481,0.427400837698474,"Important","Significant","id_21668","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""21668.0"""",""""main.cluster index_upperinput"""":""""21668.0""""}","This Node is a Singleton","N/A","N/A","N/A",7.9601,7.9601,0,"N/A","N/A",36579980,29,21668,-1,29,391.184,1,391.184,36579980,"S1270",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"C1CCC(CC1)NC2=NC(=NC3=C2N=CN3C4C(C(C(CO)O4)O)O)N=[N+]=[N-]","missing","missing","CSIFingerID","unclassified","unclassified","unclassified","unclassified","unclassified"
"39","id_223",3.1405923716541e-05,42.238450006929,11.5219047391173,-1.35609389832979,6.79074911575928e-05,-0.147010681674176,0.909820686977294,1.20908321665562,0.00206310040470403,0.00029618654521431,6.72864372500139,5.51956050834578,6.87565440667557,"CCALimu",0.00052039072039072,0.00196153846153846,0.000348484848484849,0.000948377804266764,0.1929546155682,"Important","Significant","id_223","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""223.0"""",""""main.cluster index_upperinput"""":""""223.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",9.0838,9.0838,0,"N/A","N/A",2407251000,123,223,27,123,554.1764,1,554.1764,2407251000,"27",26,"Organic compounds",0.65384615,"Phenylpropanoids and polyketides",0.19629121,"Benzene and substituted derivatives",0.10770757,"",0.06498779,"Phenylpyrrolidines",0.05769231,"Aromatic heteropolycyclic compounds",0.49038462,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"40","id_22354",3.39125749679271e-09,204.601274805105,23.8520897834998,-3.09175063484818,5.51601930798284e-09,-2.59245090734628,1.81871401487843e-05,0.499299727501905,0.614989304634565,1.52662530164119e-07,-0.177416752631689,-0.676716480133594,2.41503415471459,"CCA",0.00124102564102564,0.00108571428571429,6e-04,0.00102348178137652,0.0837721356131341,"Important","Significant","id_22354","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""22354.0"""",""""main.cluster index_upperinput"""":""""22354.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=173&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",5.2377,5.2377,0,"N/A","N/A",238010900,21,22354,173,21,555.4372,1,555.4372,238010900,"173",17,"Organic compounds",0.64705882,"Lipids and lipid-like molecules",0.60457516,"Prenol lipids",0.34068627,"Diterpenoids",0.11764706,"Lineolic acids and derivatives",0.07843137,"Aliphatic homopolycyclic compounds",0.21078431,"CCCCCCCCC=CCCCCCCCC(=NCCCCC(CN=C(C(C(C)(C)CO)O)O)C(=O)O)O","missing","missing","CSIFingerID","unclassified","unclassified","unclassified","unclassified","unclassified"
"41","id_2275",2.51965072103025e-06,21.3391477475403,14.7057979813242,-0.88612896351523,3.47393555270026e-05,0.0947037098404078,0.905673296668583,0.980832673355638,5.43058314829148e-05,3.940440176151e-05,4.26201166914324,3.2811789957876,4.16730795930283,"CCALimu",0.000474019607843137,0.00430501083024303,0.0014034188034188,0.00220766530021606,0.296155874845724,"Important","Significant","id_2275","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""2275.0"""",""""main.cluster index_upperinput"""":""""2275.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=304&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","Spectral Match to Cyclopentasiloxane, decamethyl- from NIST14","0.703991",7.9002,7.9002,0,"N/A","CCMSLIB00003138218",189567600,115,2275,304,115,371.1012,1,371.1012,189567600,"304",11,"Organic compounds",1,"Organic oxygen compounds",0.32323232,"Organooxygen compounds",0.32323232,"Carbonyl compounds",0.18181818,"Alkyl-phenylketones",0.18181818,"Aromatic heteropolycyclic compounds",0.61111111,"missing","missing","Spectral Match to Cyclopentasiloxane, decamethyl- from NIST14","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"42","id_229",3.47064438676162e-09,146.357423141685,23.817919706868,2.02259417790898,4.46323304414964e-06,2.96719449617891,1.16632048463572e-08,0.944600318269936,0.0937270283879994,1.55292054949878e-07,7.30629926608221,6.36169894781227,4.3391047699033,"CoralLimu",0.0015748545572075,-0.000195617248248827,0.00402380952380952,0.00145170567524391,0.245398016785465,"Important","Significant","id_229","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""229.0"""",""""main.cluster index_upperinput"""":""""229.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.5199,0.5199,0,"N/A","N/A",1764848000,95,229,85,95,423.9553,1,423.9553,1764848000,"85",99,"Organic compounds",0.62626263,"Organoheterocyclic compounds",0.33272407,"Indoles and derivatives",0.18434343,"",0.2843274,"Indoles and derivatives",0.18181818,"Aromatic heteropolycyclic compounds",0.27734087,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"43","id_23270",5.70570701182647e-11,411.931202184411,30.1389808338089,3.96845949551553,3.30876304133199e-09,-0.245773761654289,0.931581709790033,-4.21423325716981,2.4209666382724e-08,4.3765489784048e-09,-0.146256445017322,4.06797681215249,0.0995173166369681,"Coral",0.00124275724275724,0.000869783810960282,6e-04,0.000942402768622281,0.125145500324918,"Important","Significant","id_23270","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""23270.0"""",""""main.cluster index_upperinput"""":""""23270.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=34&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",0.6326,0.6326,0,"N/A","N/A",307157600,40,23270,34,40,166.0862,1,166.0862,307157600,"34",7,"Organic compounds",0.85714286,"Organic acids and derivatives",0.38180272,"Carboxylic acids and derivatives",0.38180272,"Amino acids, peptides, and analogues",0.38180272,"Aminobenzoic acids",0.15476191,"Aromatic homomonocyclic compounds",0.58815193,"CC1=CC=C(CCC(=O)O)C=N1","missing","missing","CSIFingerID","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"44","id_24152",5.11150772098626e-29,1258.27236830487,133.992035452916,6.1191183374583,1.21428644916932e-10,-2.07057174260366,0.00122709902731366,-8.18969008006196,1.21427090604698e-10,3.1667756296018e-26,0.156635368779797,8.34632544884175,2.22720711138345,"CoralCCA",0.00727320440996912,0.0187658788579841,0.00707676767676768,0.0112746618598511,0.920170740938133,"Important","Significant","id_24152","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94d7974737ba4a4c82453f11a3ee1a41&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24152.0"""",""""main.cluster index_upperinput"""":""""24152.0""""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=146&task=94d7974737ba4a4c82453f11a3ee1a41&show=true","N/A","N/A","N/A",5.9457,5.9457,0,"N/A","N/A",3995249000,69,24152,146,69,504.3432,1,504.3432,3995249000,"146",29,"Organic compounds",0.96551724,"Lipids and lipid-like molecules",0.54125616,"Prenol lipids",0.23608374,"Glycerophosphocholines",0.14827586,"Triterpenoids",0.11625616,"Aromatic heteropolycyclic compounds",0.29716749,"missing","missing","missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
